City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Temperature (C),Pressure (millibars),Humidity,Wind Speed (km/h)
Delhi,47.75,101.75,5.1,23.57,16.7,29,0.62,11.83,14.7,23.3,1008.14,35,14.4578
Delhi,52.5,99.75,3.25,19.95,13.25,26.85,0.49,11.3,16.17,25.5,1009.1,35.1,25.0194
Delhi,52,96.5,3,13.58,9.62,20.5,0.41,16.05,13.75,31,1009.47,35.1,27.37
Delhi,52.75,101.75,4.95,13.5,11.22,19.12,0.55,15.5,10.3,33.6,1009.31,35.1,22.218
Delhi,46,112.75,6.88,14.32,13.2,18.25,0.58,15.33,6.85,32.9,1009.21,35.1,23.5382
Delhi,,108.25,11.08,15.53,17.28,16.75,0.59,15.25,8.83,32.5,1009.38,35,19.8996
Delhi,,100.25,12.25,22.95,22.17,15.85,0.68,7.65,5.4,33.2,1009.41,35,17.5007
Delhi,,110.75,14.33,26.03,25.45,16.47,0.65,7.85,10.78,28.2,1009.02,35,17.6939
Delhi,,105.75,4.8,21.78,15.47,17.28,0.53,7.23,28.92,25.2,1009,35.1,19.5615
Delhi,,86.5,1.95,13.33,8.65,16.9,0.66,7.23,32.37,23.3,1008.75,35,21.8155
Delhi,,97,1.73,13.57,8.62,17.1,0.75,7.55,36.25,25.5,1008.94,35,17.2753
Delhi,,105.5,1.7,12.15,7.8,18.65,0.22,9.3,40.68,31,1008.76,35,11.7691
Delhi,20,107,12.77,14.67,20.35,25.57,0.43,13.35,46.52,33.6,1008.95,34.9,11.0446
Delhi,29.75,117.25,1.4,14.35,8.78,24.05,0.53,14.72,50.48,32.9,1008.93,34.9,11.0607
Delhi,32.25,119.5,1.47,13.65,8.45,18.65,0.6,12.83,53.4,32.5,1009.29,35,7.2933
Delhi,31.75,114.25,1.47,13.7,8.48,13.53,0.44,12.7,50.45,33.2,1009.42,35,6.923
Delhi,31.25,114.5,1.75,17.22,10.55,15.78,0.51,12.43,45.57,28.2,1009.53,35,11.1734
Delhi,39.25,120.25,1.17,15.02,8.98,16.77,0.81,13.95,44.6,25.2,1009.78,35,10.3201
Delhi,32.75,112,1.42,17.12,10.28,17.03,0.69,11.85,31.85,23.3,1017.18,35.1,11.1734
Delhi,28.5,102.5,1.73,16.6,10.25,16.57,0.47,9.7,24.5,25.5,1016.9,35,14.007
Delhi,31.25,102.75,2,14.92,9.57,17.28,0.59,9.12,21.05,31,1017.18,35,7.2933
Delhi,41.25,106,2.4,15.3,10.08,18.25,0.75,7.9,16.65,33.6,1016.59,35,6.7298
Delhi,34.5,103.25,2.88,15.92,10.83,21,0.82,8.1,14.22,32.9,1016.39,35,7.889
Delhi,38.75,113,3.33,18.03,12.33,23.3,0.96,2.2,11.27,32.5,1016.52,35,11.8657
Delhi,38,113.5,5.2,19.95,14.85,17.43,0.85,12.9,6.38,34.2,1016.34,35,20.0123
Delhi,,114,4.57,18.57,13.6,14.53,0.7,12.1,6.38,31.7,1016.64,35,17.5812
Delhi,,111,4.55,18.9,13.75,12.95,0.66,11.73,8.8,33.2,1016.74,35,15.9551
Delhi,,110.5,5.42,15.75,12.8,13.57,0.59,11.67,6.83,28.2,1017.06,35,16.3093
Delhi,,111.25,8.77,13.25,14.17,14.97,0.63,12.15,4.88,25.2,1016.71,35,17.7744
Delhi,,115.25,14.32,13.27,18.68,16,0.58,12.62,3.43,23.3,1017,35,19.0785
Delhi,,105.5,22.97,13.37,25.82,17.53,0.66,8.68,2.48,25.5,1016.81,35,17.5973
Delhi,,111,35.47,18.6,38.75,33.15,1.03,10.58,4.4,31,1016.61,35,20.3343
Delhi,,132.75,30.6,23.35,37.3,29.68,0.84,9.55,19.12,33.6,1015.91,35,13.7172
Delhi,,101.75,6.17,25,18.33,23.95,0.31,9.8,27.42,32.9,1016.18,35,14.3773
Delhi,,84,2,15.48,9.88,20.42,0.34,6.85,33.82,32.5,1015.69,35,10.8997
Delhi,,85,1.9,11.8,7.8,18.8,0.11,11.3,37.7,44.8,1015.82,35,4.7173
Delhi,,82.25,12.85,11.67,18.85,16.9,0.22,10.85,43.6,47.1,1014.89,35,4.669
Delhi,21,94,1.7,14.2,8.93,18.07,0.48,11.2,47.52,47.2,1015.24,35,3.5742
Delhi,22.5,100.75,1.75,15.58,9.73,19.75,0.46,15.17,52.93,45.7,1014.74,35,5.7477
Delhi,30.5,107,2,19.1,11.78,19.97,0.71,33,64.18,46.4,1014.62,35,11.27
Delhi,33.5,111.5,1.45,19.3,11.48,18.18,0.61,12.88,55.35,49.2,1014.73,35,14.4256
Delhi,32,112.75,1.45,15.55,9.45,14.25,0.56,11.25,49,52.1,1014.5,34.9,13.8943
Delhi,35,120.25,1.62,19.25,11.57,12.9,0.52,11.47,37.28,46.4,1015.64,34.9,15.778
Delhi,42.25,134.25,1.38,17.25,10.3,14.27,0.52,11.28,27.92,41.3,1016.93,34.9,15.5848
Delhi,35.5,104,2.07,18,11.25,14.4,0.71,11.6,18.62,44.2,1016.56,35,12.3809
Delhi,30.25,107,3.12,22,14.25,14.75,0.7,11.58,14.7,47.8,1017.74,34.9,20.3826
Delhi,27.25,96,2.65,18.75,12.13,15.33,0.62,11.12,12.25,48.9,1018.25,35,22.0892
Delhi,25,90,4.27,17.68,12.87,14.55,0.58,10.17,11.3,48.2,1018.2,35,22.3468
Delhi,26.5,106.25,6.02,20.53,15.85,19.22,0.67,5.58,8.33,41.8,1017.76,35,18.0642
Delhi,24.25,99.75,3.97,18.38,13.05,17.8,0.56,4.1,14.7,39.7,1018.34,35,17.6456
Delhi,21.25,87.75,1.72,13.43,8.55,15.45,0.49,5.82,13.7,43.2,1019.16,35,14.0875
Delhi,19,90,2.85,11.55,8.48,15.58,0.54,5.62,9.8,46,1018.74,35,13.4113
Delhi,28.5,94,5.1,12.75,10.95,15.6,0.59,6.55,4.9,49.5,1019.29,35,14.6188
Delhi,27.75,95.5,8.58,13.48,14.12,15.78,0.6,5.52,3.43,49.5,1019.01,35,9.2414
Delhi,32.75,106.5,18.45,12.05,21.42,16.12,0.68,9.4,2.98,35.3,1018.68,35,23.0713
Delhi,33,120,26.75,16.28,30.38,16.22,0.91,10.43,5.4,38,1017.99,35,15.29
Delhi,29.5,106,21.73,27.58,32.35,16.08,0.72,10,17.12,46,1017.66,35,8.46
Delhi,23.75,84,4.62,30.8,20.15,20.72,0.77,11.97,28.42,58.2,1016.61,35,14.29
Delhi,28,87,1.9,22.27,13.42,25.27,0.84,13.7,37.23,54.2,1016.11,35,17.71
Delhi,34,87,1.6,18.95,11.4,18.8,5.03,19.1,45.55,44.3,1015.78,35,15.29
Delhi,40.75,109.5,12.65,13.9,19.85,16.12,0.66,12.55,45.1,45.6,1015.5,35,14.29
Delhi,38,106.5,1.65,13.02,8.27,16.57,0.56,11.1,46.05,47.5,1015.4,35,25.96
Delhi,39.5,111.25,1.3,11.72,7.28,16.4,0.57,11.75,47,46.8,1015.46,35,23.54
Delhi,35.75,112.25,1.43,11.45,7.27,16.8,0.56,9.73,48,51.8,1015.91,35,19.7
Delhi,38.25,114,1.88,17.42,10.77,15.77,0.81,12.5,43.62,50.2,1016.15,35,12.42
Delhi,38.5,115.25,1.45,15.4,9.35,11.75,0.66,8.38,40.68,53.6,1016.35,35,20.38
Delhi,39,111.25,1.72,17.43,10.65,11.68,0.62,14.42,35.28,56.7,1016.27,35,19.75
Delhi,48.5,116.75,1.73,20.38,12.25,13.52,0.76,14.8,25.47,48.2,1016.44,35,22.79
Delhi,54.5,127,3.3,21.58,14.15,15.65,0.78,15.4,15.68,41.8,1016.42,35,12.46
Delhi,61.75,144.5,7.27,24.4,18.9,17.17,0.68,15.83,13.22,39.7,1016.05,35,16.08
Delhi,61,152,5.15,23.62,16.7,19.12,0.72,16.38,12.78,43.2,1015.86,35,10.29
Delhi,73,159,5.2,22.83,16.4,20.8,0.94,16.8,12.75,46,1015.97,35,17.29
Delhi,60.25,145.5,6,25.35,18.38,17,0.77,11.28,12.25,49.5,1015.85,35,23.25
Delhi,66.5,122.75,3.15,23,14.78,21.9,0.8,11.42,19.1,49.5,1016.03,35,12.71
Delhi,72.25,123,3,20.2,13.17,31.9,0.83,9.93,11.75,35.3,1016.04,35,17.25
Delhi,68.75,130.5,8.5,21.18,18.15,19.3,0.64,10,6.35,38,1015.63,35,18.29
Delhi,74,141,17.5,20.35,25.03,19.1,0.72,9.18,4.4,46,1015.79,35,13.33
Delhi,76.25,135.25,18.25,17.1,23.95,18.4,0.86,9.83,3.9,58.2,1015.85,35,10.6904
Delhi,85.25,150,26.3,16.62,30.23,19.42,1.32,9.25,5.4,54.2,1015.69,35,10.8997
Delhi,92,165,34.35,15.68,36.23,19.75,1.77,8.8,10.27,44.3,1015.48,35,12.1394
Delhi,95.5,169.5,15,27.97,27.05,25.65,1.58,12.9,20.08,45.6,1015.01,35,10.143
Delhi,93,156.75,5.48,34.98,23.08,45.85,1.09,11.72,33.8,47.5,1014.67,34.9,17.388
Delhi,63,132,2.3,33,19.4,43.4,0.45,8.8,45.1,46.8,1014.21,34.9,4.2182
Delhi,,,,,,,1,18.95,48,51.8,1014.3,34.9,17.388
Delhi,,,12.52,10.82,18.03,12.75,0.4,11.43,36.75,50.2,1017,34.9,14.4256
Delhi,58.75,112,0.83,9.5,5.75,14.5,0.11,12.07,40.7,53.6,1018.12,34.9,13.5562
Delhi,43,93.5,1.22,10.08,6.33,14.68,0,12.75,39.7,56.7,1015.08,34.9,14.1519
Delhi,41.5,87.5,1.42,9.22,6.1,12.53,0,11.72,38.2,39.8,1016.47,34.9,14.4739
Delhi,35.5,80.25,1.45,9.97,6.5,11.85,0,9.4,33.82,44.8,1016.49,34.9,13.041
Delhi,29.25,80.75,1.7,9.9,6.62,14.95,0,7.88,28.4,47.1,1016.29,34.9,12.6546
Delhi,24,82.25,1.55,8.95,6,14.35,,7.9,24.03,47.2,1016.11,34.9,11.1734
Delhi,26.25,100,2.17,16.7,10.65,22.1,,9.55,14.23,45.7,1016.23,34.9,11.4793
Delhi,33.75,137,5.57,24.3,17.45,20.95,,10.42,8.3,46.4,1016.4,34.9,9.3702
Delhi,42,150.25,8.6,26.72,21.2,14.38,,9.13,10.78,49.2,1016.33,34.9,10.8675
Delhi,58.5,146,6.67,25.88,19.2,15.03,,8.45,11.3,52.1,1016.49,34.9,15.4399
Delhi,54,122,6.62,22.95,17.6,13.88,,7,5.88,46.4,1016.49,34.9,10.1591
Delhi,59,133,8.77,18.1,16.75,14.22,,7.87,4.9,41.3,1016.41,34.9,8.4686
Delhi,59,150,12.5,16.3,18.82,19.42,,11.33,3.43,44.2,1016.32,34.9,9.0965
Delhi,59,201,17.6,15.48,22.57,17.55,,11.2,3.9,47.8,1016.58,34.9,8.9999
Delhi,67,174.25,17.28,14.97,22,16.85,,9.58,5.85,48.9,1016.6,34.9,8.1305
Delhi,62.75,130.75,14.88,18,21.62,24.1,,13.43,3.93,48.2,1016.62,35,6.9391
Delhi,65.75,136.75,25.3,16.93,29.53,21.18,,14.45,3.9,41.8,1016.97,34.9,8.1305
Delhi,79.75,141.5,42.6,20.35,45.47,20.15,,9.45,3.9,39.7,1016.73,34.9,10.4328
Delhi,67.5,136,45.23,21.02,47.95,28.6,,9.15,6.38,43.2,1016.71,34.9,5.5706
Delhi,84.5,178.75,36.5,19.33,39.97,13.42,,7.35,10.28,46,1016.7,34.9,10.8836
Delhi,70.25,161.5,12.62,26.77,24.5,14.62,,6.67,24.47,49.5,1015.96,35,7.7763
Delhi,50,103,3.15,21.6,14.05,14.05,,6.4,25.5,49.5,1015.39,35,8.0661
Delhi,28,51.5,1.6,11.5,7.4,14.5,,6.3,25.5,35.3,1015.38,34.9,9.5634
Delhi,21.25,61.75,12.05,10.2,17.27,16.35,,9.18,34.28,38,1015.1,34.9,9.7566
Delhi,18,66.75,1.38,12.75,7.85,15.45,,8.95,40.18,46,1015.09,34.9,12.6546
Delhi,15,54.5,1.45,9.73,6.37,13.62,,5.62,36.25,58.2,1015.48,34.9,11.27
Delhi,15.5,47.25,1.35,8.4,5.57,13.82,,5.7,34.3,54.2,1015.81,34.9,11.0285
Delhi,16.75,48.5,1.5,8.08,5.53,12.6,,5.3,30.9,44.3,1016.01,34.9,12.5741
Delhi,18.75,56,1.5,9.2,6.1,12.55,,5.43,30.4,45.6,1016.38,34.8,11.3183
Delhi,30.5,89.75,1.8,13.75,8.78,12.45,,10.58,23.02,47.5,1016.4,34.9,10.7548
Delhi,43.5,163.5,2.85,28.55,17.45,12.9,,9.9,16.65,46.8,1016.32,34.9,11.0446
Delhi,43.75,168.75,2.18,27.95,16.65,17.32,,11.85,13.73,51.8,1012.2,34.9,11.0124
Delhi,37,105,2.35,21.5,13.4,18.18,,14.6,10.8,50.2,1016.1,34.9,13.1537
Delhi,41.25,101,3.35,19.27,12.97,14.5,,13.12,8.33,53.6,1015.9,34.9,11.0285
Delhi,38.5,104.25,6.7,21.32,16.82,13.4,,11.93,6.85,56.7,1015.71,34.8,10.9802
Delhi,44.5,87,7.38,20.53,16.88,13.8,,10.5,3.9,11.9,1015.5,34.9,13.2503
Delhi,41.5,91,7.78,16.47,15.1,13.1,,7.33,2,21.1,1015.59,34.9,12.5902
Delhi,45,97.5,8.28,15.1,14.78,13.93,,7.35,3.9,21.4,1015.36,34.8,12.7995
Delhi,42.5,90.5,12.62,14.15,17.77,14.6,,7.42,,25.2,1015.07,34.8,10.9158
Delhi,40,93,17.25,13.83,21.38,16.12,,7.63,3.43,30.2,1018,34.8,20.2377
Delhi,31.25,67.25,19.47,15.78,24.25,23.4,,10.15,2,28.9,1015.26,34.8,20.1089
Delhi,41.25,79,23.82,18.13,29.05,36.4,,9.93,3.43,25.7,1014.85,34.9,15.4882
Delhi,68.75,158.5,26.25,21.83,32.95,37.83,,12.05,7.35,23.4,1018,34.8,15.8746
Delhi,67.75,157,18.7,26.27,29.18,26.5,,15.05,15.68,24.8,1014,34.8,17.5168
Delhi,60,128,7.1,21.88,17.45,12.73,,10.2,21.1,31.8,1013.44,34.8,17.8871
Delhi,39,95,3.2,18.4,12.4,12.4,,7.7,21.6,32,1012.85,34.8,17.2592
Delhi,15,53.25,2.4,12.3,8.5,11.9,,4.3,19.1,32.4,1012.46,34.8,11.3505
Delhi,8.5,45.25,12.45,10.68,17.88,14.03,,8.5,26.45,30.7,1011.84,34.8,13.846
Delhi,8.25,51.5,2.12,23.17,14.05,9.62,,90.6,23.53,28.2,1011.46,34.8,15.5848
Delhi,11.25,62.25,2.35,25.1,15.28,12.18,,31.58,33.82,22.3,1011.45,34.8,12.4936
Delhi,9,45.75,1.92,16.08,10.12,12.92,,10.6,43.12,9.7,1011.97,34.8,13.0088
Delhi,8.75,48,1.47,15,9.2,12.02,,9.33,40.2,4.8,1011.7,34.8,13.9909
Delhi,10.25,50.75,1.67,15.6,9.67,10.78,,7.35,34.32,8.2,1011.63,34.8,13.7977
Delhi,18.25,92.5,1.85,23.2,13.88,11.77,,9.92,25,16.6,1011.78,34.8,13.6528
Delhi,25.75,193.75,2.2,27.9,16.65,12.45,,10.68,16.65,11.4,1011.49,34.8,13.9587
Delhi,39.75,200.5,4.05,34.57,21.67,12.85,,10.45,10.8,14.1,1010.6,34.8,13.9587
Delhi,50.25,230.75,12.48,38.62,30.7,12.98,,12.3,5.88,19.8,1011.15,34.8,10.5616
Delhi,58.5,263.5,17.02,34.53,32.22,13.32,,12.33,4.4,18.2,1019.9,34.8,10.8031
Delhi,61.25,201,22.38,32.22,35.35,14.2,,13.4,2.95,16.8,1011.12,34.8,6.5044
Delhi,56,171,29.12,29.27,39.25,14.9,,10.6,2,15.3,1009.87,34.8,10.8836
Delhi,39.75,123.75,26.12,25.47,34.82,16.03,,9.65,2,16.5,1009.79,34.8,7.7763
Delhi,33,104.75,20.62,22.25,28.6,15.15,,9.03,2,16.8,1009.36,34.8,8.0661
Delhi,51,185,30.62,19.02,34.98,15.05,,9.87,2,19.6,1008.64,34.8,9.5634
Delhi,47,139,45.17,18.27,46.47,15.75,,10.08,2,20.6,1013.12,34.8,9.7566
Delhi,43.75,115.75,50.35,16.7,49.83,16.25,,10.1,2,25.3,1009.18,34.9,12.6546
Delhi,42.75,113.5,54.7,15.08,52.53,16.93,,8.95,2,24.5,1009.8,34.9,11.27
Delhi,48.75,143,68.85,14.6,63.75,17.15,,9.55,4.4,24.3,1019,34.8,11.0285
Delhi,65.25,169.25,62.2,22.88,62.7,17.6,,9.32,10.78,26.6,1008.12,34.8,12.5741
Delhi,42.5,88,22.88,30.4,34.75,19.97,,9.3,18.6,26.4,1008.18,34.8,11.3183
Delhi,31,72,9.15,28.7,22.7,19.2,,8.45,19.6,23.1,1008.59,34.8,10.7548
Delhi,14.25,59,2.6,19.3,12.4,19.3,,7.5,25.47,21.3,1009.18,34.8,11.0446
Delhi,18.25,68.75,2,13.05,8.6,16.4,,10.5,33.82,16.9,1009.39,34.8,11.0124
Delhi,25,66.75,1.72,16.15,10,17.07,,34.6,40.18,11.6,1009.47,34.8,13.1537
Delhi,33.5,86.25,1.65,33.88,19.38,17.2,,74.05,50.45,13.7,1009.31,34.8,11.0285
Delhi,39,91.5,1.7,20.07,12.05,16.58,,23.23,50,10.3,1009.64,34.8,10.9802
Delhi,34.75,80.5,1.65,16.23,9.97,17.5,,13.45,41.18,14.5,1010.11,34.8,13.2503
Delhi,29.75,80.25,1.53,17.78,10.67,17.12,0.64,12.4,37.23,12.5,1004.26,34.9,12.5902
Delhi,34.5,92.75,1.88,19.43,11.85,17.55,0.76,9.9,25.47,13.3,1009.6,34.9,12.7995
Delhi,35.5,133.5,1.55,18.92,11.3,19.62,0.86,12.38,21.6,22.1,1009.2,34.8,10.9158
Delhi,40,137.5,1.95,18.57,11.42,21.18,0.91,15.35,21.6,27.4,1008.88,34.8,20.2377
Delhi,43.5,102.25,1.8,19.72,11.98,33.17,0.94,13.9,18.63,27.5,1008.6,34.8,20.1089
Delhi,38.5,94.5,2.22,20.4,12.65,33.15,0.73,14.85,15.2,19.5,1008.32,34.8,15.4882
Delhi,46.75,107,2.2,21.12,13,20.5,0.73,12.17,15.67,25.1,1008.62,34.8,15.8746
Delhi,47.75,116.25,2.2,20.55,12.7,21.3,0.62,14.07,14.2,33.5,1008.67,34.8,17.5168
Delhi,46.25,124.5,2.12,18.2,11.38,21.5,0.73,11.93,8.33,21,1008.19,34.8,17.8871
Delhi,49,120,2.65,18.77,12.12,21.97,0.69,9.68,6.85,22.5,1007.67,34.8,17.2592
Delhi,46.25,121.25,2.55,17.73,11.48,21.32,0.7,10.67,7.33,16.8,1006.8,34.8,11.3505
Delhi,49.75,128.25,3.35,16.55,11.53,21.5,0.74,9.82,3.45,32.6,1006.09,34.8,13.846
Delhi,46.75,130.5,5.78,20.2,15.45,23,0.66,10.1,3.93,32.6,1005.68,34.8,15.5848
Delhi,42.25,123.5,16.67,23.4,25.98,41.35,0.79,9.33,2.95,24.9,1005.02,34.8,12.4936
Delhi,51,161,21.15,20.23,27.95,22.33,0.9,10.5,8.35,28.7,1004.12,34.8,13.0088
Delhi,59,134.5,11.45,25.33,22.78,26.12,0.78,13.18,16.65,29.3,1003.33,34.8,13.9909
Delhi,59,127,3.55,22.1,14.62,28.88,0.69,11.68,20.55,27.6,1002.93,34.8,13.7977
Delhi,41.75,103,1.95,14.57,9.38,19.45,0.62,8.5,28.45,28.2,1002.6,34.8,13.6528
Delhi,42,126.25,1.95,13.45,8.75,21.2,0.42,66.75,28.92,26.8,1002.35,34.8,13.9587
Delhi,34.5,150.5,13.88,36.88,32.93,16.92,0.83,95.98,32.33,26.4,1003.04,34.8,13.9587
Delhi,31.5,96,2,26.8,15.88,19.82,0.86,92.3,51.92,23.4,1003.02,34.8,10.5616
Delhi,38.25,100.25,1.65,19.23,11.55,24.15,0.88,56.65,72.02,18.7,1001.94,34.7,10.8031
Delhi,45.5,106.75,2.45,16.12,10.55,27.1,0.88,32.38,78.88,12.6,1009.1,34.7,6.5044
Delhi,47,115,3.2,14.78,10.45,26.15,0.82,19.98,62.7,8.7,1009.54,34.7,12.38
Delhi,40.5,111,5.15,16.2,12.85,18.67,0.96,10.73,48.98,11.9,1014.72,34.7,11.92
Delhi,37.5,111.5,4.18,18.18,13.08,15.62,1.01,8.8,30.38,21.1,1008.12,34.7,7.79
Delhi,37.5,128,4.43,9.3,8.53,18.18,0.97,7.23,20.58,21.4,1008.18,34.7,13.62
Delhi,32,85.5,4.85,10.88,9.7,18.42,0.89,6.95,18.6,25.2,1008.59,34.7,28.79
Delhi,30.75,78,4.02,15.03,11.25,22.65,0.93,7.9,21.55,30.2,1009.18,34.8,27.79
Delhi,31.5,80,4.8,20.88,15,20.82,0.87,7.5,11.8,28.9,1009.39,34.8,23.45
Delhi,33,85,4.95,20.3,14.82,61.08,0.85,9.15,14.72,25.7,1009.47,34.8,20.75
Delhi,38.5,93,3.7,29.55,18.75,49.42,0.87,7.88,6.85,23.4,1009.31,34.8,13.83
Delhi,36,82,9.65,31.12,24.4,21.12,0.86,9.73,5.85,24.8,1009.64,34.8,8.54
Delhi,45,86.25,2.7,24.17,15.05,15.05,0.75,5.73,10.8,31.8,1010.11,34.8,13.08
Delhi,39.25,97.75,6.88,27.78,20.38,20.97,0.71,6.1,11.8,32,1004.26,34.8,20.91
Delhi,41,126.75,11.03,29.67,24.75,16.17,0.8,6.23,5.9,32.4,1009.6,34.8,16.75
Delhi,41.75,111.75,18.78,32.38,32.47,16.87,0.87,6.45,3.93,30.7,1009.2,34.8,16.83
Delhi,35,97.75,23,33.97,36.78,17.3,0.93,7.85,5.4,28.2,1008.88,34.8,21.67
Delhi,40.25,104.75,18.58,26.48,29.17,19.45,1.06,9.85,10.3,22.3,1008.6,34.8,19.38
Delhi,49.25,93.25,4.18,10.33,8.88,17.17,0.74,8.23,18.1,9.7,1008.32,34.8,9.79
Delhi,27.5,46,3.85,9,7.9,15.3,0.82,10.22,17.65,4.8,1008.62,34.8,3.96
Delhi,23.25,57.25,5.33,14.15,11.9,15.75,0.71,25.5,21.05,8.2,1008.67,34.8,5.21
Delhi,29.5,74.5,4.35,14.25,11.15,30.55,0.43,32.4,30.4,16.6,1008.19,34.8,10.46
Delhi,35.25,89.75,13.65,14.7,21.05,14.73,0.91,31.15,37.23,11.4,1007.67,34.8,9.17
Delhi,42.25,108.5,2.37,11.25,7.93,16.03,0.8,27.88,48.03,14.1,1006.8,34.8,12.58
Delhi,54.5,115,3.25,14.05,10.15,13.2,0.87,22.05,54.88,19.8,1006.09,34.8,15.37
Delhi,36.75,95,4.7,14.78,11.7,9.67,0.75,17.23,52.93,18.2,1005.68,34.8,21.5
Delhi,41.25,96.5,3.1,11.75,8.77,11.05,0.69,17.82,54.88,16.8,1005.02,34.8,23.79
Delhi,40.75,97,3.8,21.33,14.45,11.35,0.63,14.62,46.07,15.3,1004.12,34.8,19.62
Delhi,44.25,115.75,6.35,40.65,26.8,12.65,0.78,13.6,29.38,16.5,1003.33,34.8,13.83
Delhi,39.25,128.25,3.23,24.32,15.55,13.58,0.71,10.97,24,16.8,1002.93,34.7,11.92
Delhi,39.25,126.25,5.68,23.47,17.07,14.88,0.71,10.5,15.17,19.6,1002.6,34.7,12.38
Delhi,34.25,105.25,3.23,22.28,14.43,14.02,0.83,9.98,12.28,20.6,1002.35,34.7,11.92
Delhi,27.5,94.75,4.05,31.38,20,15.17,0.9,12.35,7.83,25.3,1003.04,34.7,7.79
Delhi,32,97,3.6,28.17,17.9,14.5,0.83,11.67,6.35,24.5,1003.02,34.7,13.62
Delhi,34.25,116.5,4,34.1,21.35,17.53,0.79,9.87,3.93,24.3,1001.94,34.7,28.79
Delhi,34,88.25,5.23,36.63,23.75,30.15,0.89,9.55,4.9,26.6,1009.1,34.7,27.79
Delhi,32.75,81,4.85,36.38,23.25,16.6,0.85,7.98,,26.4,1009.54,34.7,23.45
Delhi,38.5,92.75,15.65,32.78,30.12,19.35,0.87,7.48,21.6,23.1,1023.9,34.7,20.75
Delhi,40,119,16,34.35,31.25,15,0.88,8,,21.3,1023.8,34.7,13.83
Delhi,33,80.5,6.35,30.48,21.38,13.45,0.77,8.28,4.88,16.9,1023.8,34.7,8.54
Delhi,27.75,60.25,17.72,29.97,30.35,10.08,0.77,7.92,4.4,11.6,1023.8,34.7,13.08
Delhi,28.5,85.5,8.55,21.78,18.55,19.1,0.74,9.8,7.35,13.7,1023.8,34.8,20.91
Delhi,24.75,74.75,4.92,9,8.8,25.45,0.69,10.17,16.65,10.3,1023.8,34.8,16.75
Delhi,18,41,4.17,9.98,8.67,23.2,0.69,11.78,19.6,14.5,1023.8,34.8,16.83
Delhi,25.5,49.5,3.05,8.73,7.12,13.2,0.75,10.3,20.08,12.5,1023.8,34.8,21.67
Delhi,30.5,64.25,2.75,9.6,7.4,14.1,0.62,8.17,32.82,13.3,1023.8,34.8,19.38
Delhi,32.75,77,1.82,7.95,5.75,9.78,0.68,8.37,36.73,22.1,1023.8,34.8,9.79
Delhi,34.25,76.75,2.8,7.62,6.35,7.95,0.54,8.82,39.68,27.4,1023.7,34.7,3.96
Delhi,32,76,2.35,5.82,4.95,9.85,0.57,11.08,48.52,27.5,1023.7,34.7,5.21
Delhi,29.25,77.5,2.73,6.7,5.78,9.08,0.56,8.45,53.4,19.5,1023.7,34.8,10.46
Delhi,40.25,83,3.02,11.17,8.4,9.35,0.6,8.38,53.9,25.1,1023.7,34.8,9.17
Delhi,35,94,2.32,8.43,6.38,9.02,0.68,7.48,43.62,33.5,1023.7,34.8,12.58
Delhi,37.75,101,3.07,14.6,10.25,10.38,0.6,9.03,35.27,21,1023.6,34.7,15.37
Delhi,42.75,121.25,2.93,15.9,10.85,11.2,0.65,8.4,26.45,22.5,1023.7,34.7,21.5
Delhi,35.5,88,3.65,18.45,12.78,11.7,0.71,7.65,15.65,16.8,1023.7,34.8,23.79
Delhi,38,81.25,2.35,14.75,9.78,12.33,0.79,7.7,10.8,35.9,1023.7,34.8,19.62
Delhi,37,69.75,5.05,18.5,13.95,16.2,0.82,9.23,13.25,12.15,1023.7,34.7,13.83
Delhi,34,60,4.05,22.65,15.35,29.75,0.83,8.3,6.85,21.7,1023.6,34.8,11.92
Delhi,27.5,61.5,2.05,21.42,13.1,28.05,0.79,4.13,10.8,17.4,1023.6,34.7,12.38
Delhi,33.5,58.75,1.9,21.95,13.2,21.7,0.76,4.8,8.8,14.1,1023.6,34.8,11.92
Delhi,48.75,143.75,5.55,50.1,31.15,19.12,1.86,16.1,25,15.5,1023.5,34.8,7.79
Delhi,50,179.75,20.18,70.25,53.75,17.57,1.99,14.72,14.2,22.5,1023.5,34.8,13.62
Delhi,55.5,213,7.47,60.3,38.18,20.47,1.92,13.85,17.13,21.8,1023.5,34.8,28.79
Delhi,55.25,193.75,5.83,50.68,31.7,21.2,2.44,11.13,18.15,23.8,1023.6,34.8,27.79
Delhi,57.5,179.25,7.25,54.15,34.7,21,2.54,9.5,13.25,44.1,1023.5,34.8,23.45
Delhi,51.25,164.75,6.1,41.3,26.95,21.45,2.48,8.78,16.65,38.9,1023.5,34.8,20.75
Delhi,46.25,128.25,3.37,33.62,20.62,21.15,3.04,8.83,5.9,37.7,1023.5,34.7,13.83
Delhi,45.5,101.25,7.3,29.13,21.45,20.8,0.81,8.12,10.28,40.5,1023.6,34.7,8.54
Delhi,40,117,3.9,18.8,13.2,11.3,,,47,40.8,1023.6,34.8,13.08
Delhi,36.75,109.5,4.15,16.55,12.15,10.65,0.34,19,45.07,42.4,1023.6,34.8,20.91
Delhi,27,84,16.92,12.65,22.72,8.88,0.7,12.25,41.68,45.7,1023.6,34.8,16.75
Delhi,26.5,74.75,3.9,10.38,8.7,7.2,0.61,11.03,43.62,44.3,1023.6,34.8,16.83
