City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Temperature (C),Pressure (millibars),Humidity,Wind Speed (km/h)
Ahmedabad,84,160,0.73,48.07,26.2,11.2,0.5,12.1,56.85,36,1006.73,34.6,12.54
Ahmedabad,95.75,172.75,1.35,34.12,19.25,9.83,0.53,10.23,48.52,32.2,1006.59,34.6,13.96
Ahmedabad,102.75,178.5,2.93,53.72,30.97,8,0.1,12.42,45.08,32,1006.34,34.6,19.17
Ahmedabad,124.75,207,1.78,51.25,28.7,9.7,0.08,12,54.87,30.1,1006.09,34.6,14.21
Ahmedabad,115.25,169.5,1.05,26.75,15.08,12.33,0.1,7.8,72.55,29.6,1005.97,34.6,16.5
Ahmedabad,96.5,136,0.58,22.75,12.58,11.3,0.1,8.33,75.95,29.4,1005.63,34.6,14.37
Ahmedabad,93.75,132,0.65,18.08,10.1,12.98,0.18,7.53,77.92,32.5,1005.83,34.7,11.08
Ahmedabad,98.25,136.75,0.33,21.37,11.62,19.05,0.13,5.78,75.95,33.4,1005.97,34.7,17.5
Ahmedabad,96.75,133.75,0.35,21.68,11.8,13.05,0.2,7,109.78,27.6,1005.64,34.7,11.71
Ahmedabad,99,136,0.77,19.9,11.23,12.58,0.1,7.48,121.53,30,1005.2,34.7,16.08
Ahmedabad,99.75,136,2.05,34.68,20.12,14.53,0.1,6.8,34.78,33.5,1005.1,34.8,15.46
Ahmedabad,98,142,7.05,35.6,24.67,14.47,0.1,6,21.55,37.4,1004.65,34.8,5.17
Ahmedabad,95,150.5,2.93,26.23,16.32,15.75,0.1,8.92,118.08,44.3,1004.04,34.8,3.42
Ahmedabad,84.25,136.25,1.7,18.37,11.17,14.75,0.1,12.05,160.73,44.5,1004.08,34.7,6.17
Ahmedabad,77,120.25,1.45,18.4,10.98,14.33,0.1,21.65,174.45,41.8,1004.61,34.7,10.88
Ahmedabad,71,115,3.7,35.1,21.7,12.28,0.1,,143.1,36.9,1004.99,34.7,9.62
Ahmedabad,63.5,109,79.87,76.3,105.52,2.37,0.1,114.75,158.27,33.3,1004.85,34.7,7.25
Ahmedabad,65,118.5,1.4,26.05,15,17.35,0.13,88.42,178.88,35.5,1004.96,34.7,3.75
Ahmedabad,65.25,111,2.07,32.22,18.82,12.58,0.1,104.4,165.62,35.5,1005.14,34.7,8.25
Ahmedabad,66,111,4.4,39.7,24.7,10.1,0.1,118.5,156.8,41.7,1005.05,34.6,16.38
Ahmedabad,59,97.5,1.8,21.2,12.75,14,0.1,23.7,179.35,43.2,1004.8,34.6,8.17
Ahmedabad,59.25,97.5,2.2,20.33,12.58,16.45,0.08,26.4,181.3,36.7,1004.89,34.6,13.08
Ahmedabad,59.5,94.25,1.8,20.2,12.2,11.23,0.1,28.6,189.15,36.8,1007,34.6,21.17
Ahmedabad,58.25,91,2.43,23.45,14.45,10.55,0.1,30.7,194.02,33.6,1004.3,34.7,12.75
Ahmedabad,58.5,97,2.22,24.1,14.65,11.17,0.1,29.25,182.78,33.4,1003.68,34.6,14.75
Ahmedabad,58.75,102,1.8,35.4,20.3,8.78,0.1,17.17,108.27,31.1,1003.86,34.6,10.25
Ahmedabad,64,117,2.2,29.37,17.38,8.6,0.1,12,98.98,27.1,1003.57,34.6,10.88
Ahmedabad,66,115,9.5,63.95,41.75,7.98,0.1,11.05,61.23,29.7,1003.96,34.6,11.29
Ahmedabad,71.5,124.25,1.37,19.7,11.6,11.35,0.08,9.88,117.1,30.5,1004.1,34.6,6.21
Ahmedabad,77.5,105.5,1.25,22.45,12.92,10.33,0.1,10.55,111.23,28.6,1004.26,34.6,5.5
Ahmedabad,73.75,104,1.55,28.57,16.48,15.2,0,9.7,96.55,33.7,1004.18,34.6,2.83
Ahmedabad,75.25,113.5,0.98,19.43,11.12,16.45,0.33,9.1,94.07,31.9,1004.23,34.6,3.63
Ahmedabad,75.25,115,1.15,18.18,10.62,20.55,0.2,7.65,94.05,29.9,1004.47,34.7,1.71
Ahmedabad,85,124,0.68,20.53,11.48,15.17,0.28,8.65,87.22,29.8,1004.52,34.8,3.75
Ahmedabad,99,151.75,0.75,17.85,10.13,11.55,0.1,10.02,71.05,30.4,1004.29,34.8,8.79
Ahmedabad,110.5,150.25,0.25,14.75,8.02,10.88,0.1,9.1,81.35,31.1,1003.93,34.8,10.34
Ahmedabad,102.5,140.5,0.48,14.47,8.1,11.9,0.1,9.67,106.3,32.9,1004,34.8,17.12
Ahmedabad,105.5,140.5,0.35,15.37,8.25,13.88,0.1,10.08,101.45,35,1004.3,34.8,13.96
Ahmedabad,103.5,137,2.37,35.1,20.6,17.78,0.1,10.7,80.38,37.7,1004,34.8,8.12
Ahmedabad,95,142.75,3.4,33.67,20.68,14.95,0.2,14.47,88.2,36,1004.39,34.7,11.54
Ahmedabad,96.75,144.75,3.47,28.15,17.83,17.95,0.5,14.15,105.85,32.2,1005.48,34.7,2.75
Ahmedabad,80.25,122,3.25,22.62,14.7,10.25,0.3,14.6,117.13,32,1005.89,34.7,13
